symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,date
A,Agilent Technologies Inc. Common Stock,$105.00,2.19,2.13%,2236208,29935785285.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a,2025-04-25
AA,Alcoa Corporation Common Stock ,$25.05,0.73,3.002%,8478266,6485052642.00,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa,2025-04-25
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,$9.92,0.01,0.101%,250926,0.00,United States,2025,,,/market-activity/stocks/aacb,2025-04-25
AACBR,Artius II Acquisition Inc. Rights,$0.1801,0.00,0.00%,4,0.00,United States,2025,,,/market-activity/stocks/aacbr,2025-04-25
AACBU,Artius II Acquisition Inc. Units,$10.11,0.0353,0.35%,4246,0.00,United States,2025,Blank Checks,Finance,/market-activity/stocks/aacbu,2025-04-25
AACG,ATA Creativity Global American Depositary Shares,$0.92,-0.0338,-3.544%,10430,29358476.00,China,2008,Other Consumer Services,Real Estate,/market-activity/stocks/aacg,2025-04-25
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$11.21,-0.02,-0.178%,124730,0.00,,2023,Blank Checks,Finance,/market-activity/stocks/aact,2025-04-25
AAL,American Airlines Group Inc. Common Stock,$9.32,0.01,0.107%,102486905,6128604424.00,United States,,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal,2025-04-25
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,$10.27,0.00,0.00%,5,0.00,,2024,,,/market-activity/stocks/aam,2025-04-25
AAME,Atlantic American Corporation Common Stock,$1.54,0.0166,1.09%,5768,31415627.00,United States,,Life Insurance,Finance,/market-activity/stocks/aame,2025-04-25
AAMI,Acadian Asset Management Inc. Common Stock,$26.48,0.06,0.227%,292673,992783605.00,United Kingdom,2014,Investment Managers,Finance,/market-activity/stocks/aami,2025-04-25
AAOI,Applied Optoelectronics Inc. Common Stock,$11.66,0.71,6.484%,4696278,578936280.00,United States,2013,Semiconductors,Technology,/market-activity/stocks/aaoi,2025-04-25
AAON,AAON Inc. Common Stock,$82.06,2.16,2.703%,926541,6695873535.00,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon,2025-04-25
AAP,Advance Auto Parts Inc.,$32.74,-0.20,-0.607%,2124868,1957621052.00,United States,,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap,2025-04-25
AAPG,Ascentage Pharma Group International American Depository Shares,$23.90,2.30,10.648%,54300,2080892816.00,China,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aapg,2025-04-25
AAPL,Apple Inc. Common Stock,$204.60,4.86,2.433%,52929165,3073516135800.00,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl,2025-04-25
AARD,Aardvark Therapeutics Inc. Common Stock,$8.52,0.86,11.227%,93383,184849238.00,United States,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aard,2025-04-25
AAT,American Assets Trust Inc. Common Stock,$19.02,0.08,0.422%,333126,1162849287.00,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat,2025-04-25
AB,AllianceBernstein Holding L.P.  Units,$36.83,-0.17,-0.459%,552607,4070832017.00,United States,,Investment Managers,Finance,/market-activity/stocks/ab,2025-04-25
ABAT,American Battery Technology Company Common Stock,$1.11,0.04,3.738%,654725,93970391.00,United States,,Metal Mining,Basic Materials,/market-activity/stocks/abat,2025-04-25
ABBV,AbbVie Inc. Common Stock,$177.05,3.27,1.882%,7119729,312556077786.00,United States,2012,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv,2025-04-25
ABCB,Ameris Bancorp Common Stock,$55.51,1.50,2.777%,672439,3833998486.00,United States,1994,Major Banks,Finance,/market-activity/stocks/abcb,2025-04-25
ABCL,AbCellera Biologics Inc. Common Shares,$2.53,0.01,0.397%,4427997,745503796.00,Canada,2020,Pharmaceuticals and Biotechnology,Health Care,/market-activity/stocks/abcl,2025-04-25
ABEO,Abeona Therapeutics Inc. Common Stock,$5.22,-0.06,-1.136%,1611692,253346426.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abeo,2025-04-25
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.45,0.02,0.823%,61475130,38358570101.00,Brazil,2013,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev,2025-04-25
ABG,Asbury Automotive Group Inc Common Stock,$219.31,-3.69,-1.655%,194336,4308442982.00,United States,2002,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/abg,2025-04-25
ABL,Abacus Global Management Inc. Class A Common Stock,$8.30,0.165,2.028%,403107,803880224.00,United States,2020,Investment Managers,Finance,/market-activity/stocks/abl,2025-04-25
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.6299,0.0199,0.078%,14492,1913306558.00,United States,,Investment Managers,Finance,/market-activity/stocks/ablll,2025-04-25
ABLLW,Abacus Global Management Inc. Warrant,$1.65,0.04,2.484%,4001,159807514.00,United States,2020,Investment Managers,Finance,/market-activity/stocks/abllw,2025-04-25
ABLV,Able View Global Inc. Class B Ordinary Shares,$1.14,0.0719,6.732%,9115,48289526.00,China,,Other Consumer Services,Consumer Discretionary,/market-activity/stocks/ablv,2025-04-25
ABM,ABM Industries Incorporated Common Stock,$48.40,1.13,2.391%,612345,3012001551.00,United States,,Diversified Commercial Services,Finance,/market-activity/stocks/abm,2025-04-25
ABNB,Airbnb Inc. Class A Common Stock,$118.28,3.37,2.933%,5183356,74580223770.00,United States,2020,Diversified Commercial Services,Finance,/market-activity/stocks/abnb,2025-04-25
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$1.02,0.0379,3.859%,356455,61784894.00,United States,2021,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/abos,2025-04-25
