symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,date
A,Agilent Technologies Inc. Common Stock,$105.00,2.19,2.13%,2236208,29935785285,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a,2025-04-24
AA,Alcoa Corporation Common Stock,$25.05,0.73,3.002%,8478266,6485052642,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa,2025-04-24
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,$9.92,0.01,0.101%,250926,0,United States,2025,NA,NA,/market-activity/stocks/aacb,2025-04-24
AACBR,Artius II Acquisition Inc. Rights,$0.1801,0,0.00%,4,0,United States,2025,NA,NA,/market-activity/stocks/aacbr,2025-04-24
AACBU,Artius II Acquisition Inc. Units,$10.11,0.0353,0.35%,4246,0,United States,2025,Blank Checks,Finance,/market-activity/stocks/aacbu,2025-04-24
AACG,ATA Creativity Global American Depositary Shares,$0.92,-0.0338,-3.544%,10430,29358476,China,2008,Other Consumer Services,Real Estate,/market-activity/stocks/aacg,2025-04-24
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$11.21,-0.02,-0.178%,124730,0,NA,2023,Blank Checks,Finance,/market-activity/stocks/aact,2025-04-24
AAL,American Airlines Group Inc. Common Stock,$9.32,0.01,0.107%,102486905,6128604424,United States,NA,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal,2025-04-24
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,$10.27,0,0.00%,5,0,NA,2024,NA,NA,/market-activity/stocks/aam,2025-04-24
AAME,Atlantic American Corporation Common Stock,$1.54,0.0166,1.09%,5768,31415627,United States,NA,Life Insurance,Finance,/market-activity/stocks/aame,2025-04-24
AAMI,Acadian Asset Management Inc. Common Stock,$26.48,0.06,0.227%,292673,992783605,United Kingdom,2014,Investment Managers,Finance,/market-activity/stocks/aami,2025-04-24
AAOI,Applied Optoelectronics Inc. Common Stock,$11.66,0.71,6.484%,4696278,578936280,United States,2013,Semiconductors,Technology,/market-activity/stocks/aaoi,2025-04-24
